edge_id,road_id,from_node,to_node,normal_minutes,disrupted_minutes,road_disruption_probability_0_1,candidate_closure_status,subdistrict_id,bridge_flag
MS-EDGE-0016676,546930304,N-99.8933859-20.3844228,N-99.8937360-20.3842926,0.09422,0.135677,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016677,546930304,N-99.8937360-20.3842926,N-99.8942069-20.3841416,0.1245,0.17928,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016678,546930304,N-99.8942069-20.3841416,N-99.8946246-20.3840009,0.111032,0.159886,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016679,546930304,N-99.8946246-20.3840009,N-99.8949387-20.3838977,0.083261,0.119896,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016680,546930304,N-99.8949387-20.3838977,N-99.8952753-20.3837855,0.089368,0.12869,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016681,546930305,N-99.8944406-20.3847549,N-99.8943239-20.3844587,0.084265,0.121341,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016682,546930305,N-99.8943239-20.3844587,N-99.8942069-20.3841416,0.089542,0.128941,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016683,546930306,N-99.8933815-20.3851273,N-99.8939748-20.3849218,0.158225,0.227844,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016684,546930306,N-99.8939748-20.3849218,N-99.8942984-20.3848131,0.085991,0.123827,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016685,546930306,N-99.8942984-20.3848131,N-99.8944406-20.3847549,0.038815,0.055894,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016686,546930306,N-99.8944406-20.3847549,N-99.8949208-20.3846202,0.125388,0.180558,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016687,546930306,N-99.8949208-20.3846202,N-99.8952035-20.3845125,0.076336,0.109924,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016688,546930306,N-99.8952035-20.3845125,N-99.8955132-20.3843913,0.083954,0.120894,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016689,546930308,N-99.8886557-20.3893101,N-99.8887006-20.3896601,0.094077,0.13547,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016690,546930308,N-99.8887006-20.3896601,N-99.8887500-20.3904230,0.203968,0.293714,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016691,546930308,N-99.8887500-20.3904230,N-99.8887647-20.3905469,0.033269,0.047907,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016692,546930309,N-99.9004040-20.3811328,N-99.9004633-20.3811107,0.015964,0.022988,0.11,candidate_open_with_delay,TH570904,False
MS-EDGE-0016693,546930309,N-99.9004633-20.3811107,N-99.9004229-20.3808190,0.078499,0.113038,0.11,candidate_open_with_delay,TH570904,False
